id,name,domain,category_vi,latitude,longitude,address,region,description,search_text
HCM_00001,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7824512,106.6773049,"Phường 9, Quận 3, Hồ Chí Minh, 72414",Quận 3,Lotteria là quán thức ăn nhanh tại Quận 3.,Lotteria Ẩm thực quán thức ăn nhanh Quận 3
HCM_00002,Cà Phê Acoustic,Ẩm thực,quán cà phê,10.7811643,106.6898451,"6E1 Hẻm Số 6 Ngô Thời Nhiệm, Võ Thị Sáu, Quận 3, Hồ Chí Minh, 72415",Quận 3,Cà Phê Acoustic là quán cà phê tại Quận 3.,Cà Phê Acoustic Ẩm thực quán cà phê Quận 3
HCM_00003,Cà Phê Sỏi Đá,Ẩm thực,quán cà phê,10.7809198,106.689929,"6B Hẻm Số 6 Ngô Thời Nhiệm, Võ Thị Sáu, Quận 3, Hồ Chí Minh, 72415",Quận 3,Cà Phê Sỏi Đá là quán cà phê tại Quận 3.,Cà Phê Sỏi Đá Ẩm thực quán cà phê Quận 3
HCM_00004,Cà Phê Du Miên,Ẩm thực,quán cà phê,10.7923386,106.6760528,"62/1A Hẻm 62 Hồ Biểu Chánh, Phú Nhuận, Hồ Chí Minh, 72206",Phú Nhuận,Cà Phê Du Miên là quán cà phê tại Phú Nhuận.,Cà Phê Du Miên Ẩm thực quán cà phê Phú Nhuận
HCM_00005,Cà Phê Mê Khúc,Ẩm thực,quán cà phê,10.7987704,106.6865074,"218 Đường Cù Lao, Phường 2, Phú Nhuận, Hồ Chí Minh, 72210",Phú Nhuận,Cà Phê Mê Khúc là quán cà phê tại Phú Nhuận.,Cà Phê Mê Khúc Ẩm thực quán cà phê Phú Nhuận
HCM_00006,KFC,Ẩm thực,quán thức ăn nhanh,10.7536456,106.6582631,"123-125 Đường Châu Văn Liêm, China Town, Phường 14, Quận 5, Hồ Chí Minh",Quận 5,KFC là quán thức ăn nhanh tại Quận 5.,KFC Ẩm thực quán thức ăn nhanh Quận 5
HCM_00007,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7528814,106.6695842,"Đường Nguyễn Tri Phương, China Town, Phường 7, Quận 5, Hồ Chí Minh, 72707",Quận 5,Lotteria là quán thức ăn nhanh tại Quận 5.,Lotteria Ẩm thực quán thức ăn nhanh Quận 5
HCM_00008,KFC,Ẩm thực,quán thức ăn nhanh,10.7669666,106.6962301,"33 Đường Trịnh Văn Cấn, Cầu Ông Lãnh, Quận 1, Hồ Chí Minh, 71011",Quận 1,KFC là quán thức ăn nhanh tại Quận 1.,KFC Ẩm thực quán thức ăn nhanh Quận 1
HCM_00009,KFC,Ẩm thực,quán thức ăn nhanh,10.780868,106.6982351,"34 Đường Lê Duẩn, Bến Nghé, Quận 1, Hồ Chí Minh, 71006",Quận 1,KFC là quán thức ăn nhanh tại Quận 1.,KFC Ẩm thực quán thức ăn nhanh Quận 1
HCM_00010,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7717072,106.687498,"Hẻm 398 Nguyễn Thị Minh Khai, Phường 5, Quận 3, Hồ Chí Minh, 72406",Quận 3,Lotteria là quán thức ăn nhanh tại Quận 3.,Lotteria Ẩm thực quán thức ăn nhanh Quận 3
HCM_00011,KFC,Ẩm thực,quán thức ăn nhanh,10.7573679,106.6744982,"545 Đường An Dương Vương, Quận 5, Hồ Chí Minh, 72706",Quận 5,KFC là quán thức ăn nhanh tại Quận 5.,KFC Ẩm thực quán thức ăn nhanh Quận 5
HCM_00012,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7806494,106.6984325,"34 Đường Lê Duẩn, Bến Nghé, Quận 1, Hồ Chí Minh, 71006",Quận 1,Lotteria là quán thức ăn nhanh tại Quận 1.,Lotteria Ẩm thực quán thức ăn nhanh Quận 1
HCM_00013,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7815168,106.6926088,"168 Đường Nguyễn Đình Chiểu, Phường 6, Quận 3, Hồ Chí Minh, 72407",Quận 3,Lotteria là quán thức ăn nhanh tại Quận 3.,Lotteria Ẩm thực quán thức ăn nhanh Quận 3
HCM_00014,Bánh Bao Đức Ký,Ẩm thực,quán thức ăn nhanh,10.7567772,106.6534012,"Đường Nguyễn Chí Thanh, China Town, Phường 15, Quận 5, Hồ Chí Minh, 72617",Quận 5,Bánh Bao Đức Ký là quán thức ăn nhanh tại Quận 5.,Bánh Bao Đức Ký Ẩm thực quán thức ăn nhanh Quận 5
HCM_00015,KFC,Ẩm thực,quán thức ăn nhanh,10.7702226,106.6938718,"Le Duy, Hồ Chí Minh",,KFC là quán thức ăn nhanh tại TP.HCM.,KFC Ẩm thực quán thức ăn nhanh
HCM_00016,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7917715,106.6913899,"2 Đường Nguyễn Hữu Cầu, Tân Định, Quận 1, Hồ Chí Minh, 71008",Quận 1,Lotteria là quán thức ăn nhanh tại Quận 1.,Lotteria Ẩm thực quán thức ăn nhanh Quận 1
HCM_00017,KFC,Ẩm thực,quán thức ăn nhanh,10.7862755,106.6660853,"Trường Cao Đẳng Nghề Đường Sắt 1 - Phân Hiệu Phía Nam, 590 Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",Quận 3,KFC là quán thức ăn nhanh tại Quận 3.,KFC Ẩm thực quán thức ăn nhanh Quận 3
HCM_00018,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7676493,106.6953831,"75A Đường Trần Hưng Đạo, Cầu Ông Lãnh, Quận 1, Hồ Chí Minh, 71011",Quận 1,Lotteria là quán thức ăn nhanh tại Quận 1.,Lotteria Ẩm thực quán thức ăn nhanh Quận 1
HCM_00019,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7559824,106.6628075,"126 Đường Hồng Bàng, Phường 12, Quận 5, Hồ Chí Minh, 72713",Quận 5,Lotteria là quán thức ăn nhanh tại Quận 5.,Lotteria Ẩm thực quán thức ăn nhanh Quận 5
HCM_00020,KFC,Ẩm thực,quán thức ăn nhanh,10.7820677,106.6288429,"Đường Lê Khôi, Phú Thạnh, Tân Phú, Hồ Chí Minh, 72013",Tân Phú,KFC là quán thức ăn nhanh tại Tân Phú.,KFC Ẩm thực quán thức ăn nhanh Tân Phú
HCM_00021,Nhà Hàng BBQ Chicken,Ẩm thực,nhà hàng,10.768208,106.6841501,"1 Đường Cao Thắng, Phường 2, Quận 3, Hồ Chí Minh",Quận 3,Nhà Hàng BBQ Chicken là nhà hàng tại Quận 3.,Nhà Hàng BBQ Chicken Ẩm thực nhà hàng Quận 3
HCM_00022,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7777196,106.6655017,"Trà Sữa-Coffee Fast Food 18 Độ C Đại Nam, 601 Đường Tô Hiến Thành, Phường 13, Quận 10, Hồ Chí Minh, 72511",Quận 10,Lotteria là quán thức ăn nhanh tại Quận 10.,Lotteria Ẩm thực quán thức ăn nhanh Quận 10
HCM_00023,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7677546,106.6666246,"474 Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh, 72506",Quận 10,Lotteria là quán thức ăn nhanh tại Quận 10.,Lotteria Ẩm thực quán thức ăn nhanh Quận 10
HCM_00024,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7994166,106.696288,"Đường Đinh Tiên Hoàng, Phường 3, Bình Thạnh, Hồ Chí Minh, 72317",Bình Thạnh,Lotteria là quán thức ăn nhanh tại Bình Thạnh.,Lotteria Ẩm thực quán thức ăn nhanh Bình Thạnh
HCM_00025,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7567799,106.6852501,"328Ter Đường Trần Hưng Đạo, Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Quận 1,Lotteria là quán thức ăn nhanh tại Quận 1.,Lotteria Ẩm thực quán thức ăn nhanh Quận 1
HCM_00026,KFC,Ẩm thực,quán thức ăn nhanh,10.7886556,106.6760753,"369 Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",Quận 3,KFC là quán thức ăn nhanh tại Quận 3.,KFC Ẩm thực quán thức ăn nhanh Quận 3
HCM_00027,KFC,Ẩm thực,quán thức ăn nhanh,10.7501568,106.650781,"Công Ty Dược Thành Phố Hồ Chí Minh - Hiệu Thuốc Số 1, 80 Đường Tháp Mười, China Town, Phường 2, Quận 6, Hồ Chí Minh, 73107",Quận 6,KFC là quán thức ăn nhanh tại Quận 6.,KFC Ẩm thực quán thức ăn nhanh Quận 6
HCM_00028,KFC,Ẩm thực,quán thức ăn nhanh,10.7620711,106.6563833,"972-974 Đường 3 Tháng 2, Phường 12, Quận 11, Hồ Chí Minh",Quận 11,KFC là quán thức ăn nhanh tại Quận 11.,KFC Ẩm thực quán thức ăn nhanh Quận 11
HCM_00029,Jollibee,Ẩm thực,quán thức ăn nhanh,10.7699629,106.6821277,"41 Đường Cao Thắng, Phường 2, Quận 3, Hồ Chí Minh, 72418",Quận 3,Jollibee là quán thức ăn nhanh tại Quận 3.,Jollibee Ẩm thực quán thức ăn nhanh Quận 3
HCM_00030,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7570454,106.6780965,"121 Đường Lê Hồng Phong, Phường 2, Quận 5, Hồ Chí Minh, 72709",Quận 5,Lotteria là quán thức ăn nhanh tại Quận 5.,Lotteria Ẩm thực quán thức ăn nhanh Quận 5
HCM_00031,Cửa Hàng Thức Ăn Nhanh Chicken Town,Ẩm thực,quán thức ăn nhanh,10.7755226,106.6194713,"29A Đường Số 4, Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh, 71912",Bình Tân,Cửa Hàng Thức Ăn Nhanh Chicken Town là quán thức ăn nhanh tại Bình Tân.,Cửa Hàng Thức Ăn Nhanh Chicken Town Ẩm thực quán thức ăn nhanh Bình Tân
HCM_00032,Cửa Hàng Đồ Ăn Nhanh G-Bread,Ẩm thực,quán thức ăn nhanh,10.7616574,106.6896218,"Đường Trần Hưng Đạo, Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh, 71014",Quận 1,Cửa Hàng Đồ Ăn Nhanh G-Bread là quán thức ăn nhanh tại Quận 1.,Cửa Hàng Đồ Ăn Nhanh G-Bread Ẩm thực quán thức ăn nhanh Quận 1
HCM_00033,Lotteria,Ẩm thực,quán thức ăn nhanh,10.7882662,106.6618944,"793 Đường Cách Mạng Tháng 8, Phường 6, Tân Bình, Hồ Chí Minh, 72117",Tân Bình,Lotteria là quán thức ăn nhanh tại Tân Bình.,Lotteria Ẩm thực quán thức ăn nhanh Tân Bình
